Card DB ID,Skating,Career,First Name,Last Name,Defense,Nation,Team ID,Position,Checking,Shooting,Hands,Training Slots,Rare Card,Rating,Is Victory Card,Is Legend Card
3108,82,85,Braydon,Coburn,88,0,21,3,88,75,77,3,1,95,0,0
3109,90,100,Sidney,Crosby,86,0,23,0,83,90,95,3,1,94,1,0
3116,90,100,Alexander,Ovechkin,86,76,29,1,91,94,94,2,1,93,1,0
553653291,93,100,Patrick,Roy,92,0,15,5,92,94,93,1,1,93,0,1
599,92,55,Pavel,Datsyuk,87,76,10,0,82,86,94,1,1,93,1,0
553649552,89,100,Mario,Lemieux,88,0,23,0,86,96,99,1,1,92,0,1
5679,90,100,Steven,Stamkos,83,0,26,0,82,90,93,5,1,91,1,0
4195,86,100,Jonathan,Toews,87,0,6,0,84,85,91,5,1,91,1,0
3110,85,85,Ryan,Getzlaf,86,0,0,0,89,87,91,3,1,91,1,0
35,87,85,Evgeni,Malkin,82,76,23,0,86,90,93,3,1,91,1,0
757,88,75,Marc-Andre,Fleury,88,0,23,5,89,90,90,2,1,91,1,0
1294,90,75,Ilya,Kovalchuk,80,76,17,1,86,87,92,2,1,91,1,0
3117,90,75,Zach,Parise,85,14,17,1,81,88,93,2,1,91,1,0
1641,89,65,Ryan,Miller,89,14,3,5,91,91,90,1,1,91,1,0
2648,90,65,Henrik,Zetterberg,85,69,10,0,80,87,92,1,1,91,1,0
2162,83,65,Daniel,Sedin,84,69,28,1,84,91,92,1,1,91,1,0
509,83,55,Zdeno,Chara,90,95,2,3,95,83,82,1,1,91,1,0
2398,85,65,Joe,Thornton,82,0,25,0,86,85,92,1,1,91,1,0
2163,83,65,Henrik,Sedin,85,69,28,0,83,86,93,1,1,91,1,0
3119,85,85,Corey,Perry,87,0,0,2,87,90,88,3,1,90,1,0
3275,89,70,Pekka,Rinne,88,67,16,5,90,90,86,2,1,90,1,0
3253,87,70,Henrik,Lundqvist,90,69,19,5,91,91,86,2,1,90,1,0
3250,88,75,Cam,Ward,89,0,5,5,90,90,87,2,1,90,1,0
2280,85,75,Eric,Staal,83,0,5,0,86,89,89,2,1,90,1,0
2542,87,55,Tomas,Vokoun,89,82,12,5,90,90,87,1,1,90,1,0
1493,89,65,Roberto,Luongo,88,0,28,5,91,91,86,1,1,90,1,0
1058,86,55,Jarome,Iginla,86,0,4,2,88,89,88,1,1,90,1,0
1956,82,55,Chris,Pronger,90,0,21,3,90,80,81,1,1,90,1,0
4184,88,100,Carey,Price,89,0,15,5,89,90,87,5,1,89,1,0
4186,85,100,Bobby,Ryan,82,14,0,2,86,90,90,5,1,89,1,0
4194,92,100,Patrick,Kane,77,14,6,2,71,87,94,5,1,89,1,0
3121,85,85,Mike,Richards,86,0,13,0,85,86,88,3,1,89,1,0
3238,83,85,Shea,Weber,90,0,16,4,91,82,80,3,1,89,1,0
3122,83,85,Brent,Seabrook,88,0,6,4,89,80,79,3,1,89,1,0
1710,86,75,Rick,Nash,84,0,8,2,88,89,89,2,1,89,1,0
3136,88,75,Duncan,Keith,88,0,6,3,81,82,89,2,1,89,1,0
